word,definition
hmen,"Peace, tranquility"
hmo,Prepare
hmôn,bedridden
hnam,"Home, family"
hngach,Continuous rain
hngâm,heavy 
hngem,"Wet, soaked "
"hngier, hôngier","Doze off, nap, take nap"
hngor,Snore
hnhâm,accuse
hnhâp,"Forgetful, forget"
hniô,"Push towards, push against"
hnoch,sharpen
hnong,"Mold, shape, model"
hnũi,Reluctantly
hoah,Chipped
hoai,Redeem
hoai,no harm
hoai,Avoid
hôâk,Mango
hoăân,"Quarrelsome, angry"
hoan,"muscular, strong, sturdy"
hoâng,Help
hŭk,"Quick tempered, easily irritated"
hồn,Empty
"hol, hôl",Blunt
hon,grow
hong,"Split, chipped"
hông,"Exaggerate, lie ostentatiously, charlatan, boast"
hôŭnh,wrinkle
hop,Wrap
hor,drag
hôbech,"Quickly, promptly, nimbly"
hôbông,Wrecks
hobc,"Palpate,"
hôbuh,"Torrent,"
hôbut,"Whirlwind, storm, typhoon."
hoch,impressed.
hôchăng,Alert
hôdroh,diarrhea
hodrông,"Bark, yap"
hodrông,Wild tribe
hodru,"hut, tent"
"hôdrúk, xodrŭk",Jump down
hôdũ,Loose
hôgôr,drum
hôi,carelessness
hôium,"Collect, pick up"
hoiung,"Standing. , stay upright"
"hôjuh, hôiuh","Vapor, exhalation"
hôjuih,"Wet, soaked"
hok,freshness
hôkõm,Torticollis
hokom,"Group, grouped"
hôkôp,Joined together
hôl,"Wanderer, stroller"
hôlée,joke.
hôlém,"Console, soften, calm"
hôlih,"Change, exchange"
hôlih,Landslide
hôlim,"Typhoon, storm with heavy rain."
"hôling, ôrih ","Longevity, living long years."
holu,Repeating
hôlung,"Pit, abyss, chasm"
hôluon,sip
"hômet, hamet",Bat
homôl,Log
"hômu, rômu",Vine
homul,forge 
hônăng,while
hônăng,Equals
hônel,"Whole, intact"
hôngleh,decrease
honguang,Explore
hônhek,make way
hôni,"After, behind"
hônong,"Share, portion"
honong kg,Comparatively
hônõt,rub 
honok,"Suffocation, engorgement"
hônuh,Rice husk
hớp,Take breath
hôpech,scrubbing
"horech, horek","Cut, slice"
hôrek,cough
horel,shave 
hôreng,"Quickly, promptly"
hôrep hôrep,precision
horï,"relentlessly, stubborn"
pôkhin,Hundred
hôrik,Sniff
hôroh,"Defeated, emaciated"
hôrŭk,"Robust, strong"
hôrõm,Slender
horôn,"strength, strong"
horông,Behind the back
hôrôch,Worthless 
horong,moan
horŭ,"loss, misfortune"
hôru-harang,"fornication, incest"
hôrul,Absent
hôt,Tobacco
hôta,Bowstring.
vhotiel,"Slippery, smooth"
hotu,"Deep pit, chasm"
hotuch,"last, finally"
hu,money
huch,Smell
hue,looking back
huy,"Rare, rarely, sparse"
hum,"bath, bathe, shower"
huong-huoch,"Vaguely, confusedly"
hut,"Wicked, fool"
iă,"Simply, only"
,"glue, gum"
iâyh,"Undo, demolish "
iak,Invite
iăng,"Aunt, sister"
iang,"Spirit, divinity"
iâp,"Strong, securely, carefully"
iâp,"List, count"
tél,"Smooth, polished, united"
ie,Little
iéếm,"You, your"
iép,stealth
iër,"shiver, shudder"
"iét, jet","word ngao. Draw. dak, draw water."
"tk, ich","Defecate, excrement, manure, droppings"
inh,"me, mine, my, my own"
don ,unreasonable
iôk,"Take, receive, accept"
iom,"Yes, true"
iom,condescend
iong,"Mother, female"
ŭn adjectif) signe du superlatif absolu,"large, huge"
iôr,Sickly
iol,Hunt
"ip, iŭp","Shade, shaded"
ir,"chickens, hens, roosters, chicks"
pôklik,"Kill, assassinate, massacre"
it kô,"Colliding, touching"
iŭk-ïak,pretend
"iŭ, jô","Acid, sour, vinegar"
iu,"fear, apprehend"
iùũă,Mow
iŭng,"Getting up, standing up"
"jâl semer à la volée, le bras levé","Victory, superiority, winning, conquering"
jăk,"go away, flee, disappear"
jam,"Plate, dish"
jầng,Palisade 
jâp,Everywhere
je,Close
jel,No
jel,"Polished, smooth"
jet,"ask, claim debt"
jiây,win
jih,"Edge, end, margin, edge, limit, confines"
tik jik,constantly
il,Suede
jing,"become, grow"
jir,overripe
jit,Carve
"ô, jue",right
jo,Crippled
j6,sour
joh,"peck, prick"
jôi,"In the beginning, at the origin, during"
jôk,"Strong in health, well constituted, full of life."
jông-mrom,quiver
jor,"Miss, missed"
jo,Jar
"jôbu, chôbu","fist, punch"
jodrang,Belt
johah,Gaping
"jôk, gam ",Blue
jômai,Beads
jômang,Brown
jônai,"Victory, conquer, prevail"
jônap,Happy
jong,Foot
joni,mourning
jonit,Scraping
"jŭnuk, hônuk",Rich
jérâm,"Meet, find, possess"
jôrăng,Column
"jôrao, jorau",poison
jôrề,"ignore, despise"
"jôreng, joring",Wax
"jorip, jôrep","Inhale, sucking"
jôro,Stretched out
jérot,Rub
"jôrõu, joru",mix
jorŭ,Deep
joruh,"Less, lower, lesser"
jéruh,Fall
jôrum,Needle
jŭ,Black
juă,"trample on, step on"
"juà, jug","profit, gain"
"juah, di ",Everything
jue,"True, just, exact, upright, faithful, sincere"
juey,deer
juer,"detour, avoid"
juh,"Double, fold"
"jul, jonul",Cluster
jŭng,Zigzag
jŭp,"Join, unite"
juô,Tread
jur,Descend
jũt,"Tough, tenacious"
ka,fish
kă,"in the morning, by day, during the day"
"kach, kai",scratch
kaih,Difficult
kăl,Important
kal,"firm, unshakeable"
kăng,"Boundaries, limits"
kăng,Copper pot
"kan hâp, kan xo","They, them, them, their"
kao,Cut
"kapô, kôpô",buffalo
kât,"Cut, slice"
keep,centipede
keh,"Completed, finished"
két,"Strangle, suffocate"
kha,"oppose, prevent"
"tât, kôt","Bind, fasten, garrote."
"khach, khai",Fishy
khal,"Shortage, lack"
khâm,Threaten
khắm,mortise
khan,"Say, call, name"
khan,"handkerchief, napkin"
khăng,Dry
"khắt, khet","Stop, block"
khe-kho,Annoying
khey,Moon
khel,shield
khial,Wind
khin,"Courageous, daring"
kho,"Dry, arid"
khôi,"Oppose, obstruct, prohibit"
khôy,burnt
khôl,Gray
"khôm, bou ",Urine smell
"không, gôneng ",Urinal
khôp,"Rather, prefer"
khôp,apologies
khôr,Scrape
khong,"blaze, ignitable, flammable, combustible"
khu,"Conjecture, think, presume"
khul,"Strip, group"
khŭm khŭm,"Quiet, calm, peaceful"
"khŭt, bôlông ",imbecile
"ki, txo ",formerly
kiâ,contraction of kiki . What Why Hul why get angry
"kăxk, kiek",corpse
kiel,pain
"kier, kĩr","Tight, dense."
kit,"Frog, toad"
kla,Tiger
klaih ko,after
"klak, klok",Stuffing
"klăn, bih ",boa
klang,dig
klang-an,Kite
klang-puh,handkerchief
klao,Testicles
kle,"seize, rob"
"klech, klek",Penetrate
kléng,Cross out
klep,patch up
kli,"Too much, in excess"
klieng,Forehead
klik,Deaf
klit,Deformed
klôk,Navel
klong,Cotton plant
klong,Wild ginger
klom,Liver
klum,Inclusively
klung,Lowland
klup,Cover
klŭt,impose
klŭt,slip away
ko,Dog
ko,white
koch,"Remove, scrape"
koh,"Saber, cut"
koi,Carry
koih,Scrape
kok,"White, pale"
kôŭl,"Knot, tie"
kom,"Pick up, pile up"
kon,Village
kong,Brass
kông,"Forearm, wrist"
kong,Flange
kông,"Mountain, shore"
kônh,Taciturn
kop,Tortoise
ko,"at, for, because, because, towards, against, in, during"
ko,"ashamed, blush, awe."
"koât ko, kế àt ko","unmissable, inevitable"
kôbai,scratch
kôchit,selfish
kôchit,perish
kochop,Shoes
kôchôt,fold
kôchuã,"inconstant, changing"
"kodâk, kôdok",obstructed
kôdăn,"Interval, distance"
"kodap, kgdgp","hidden, masked"
"kodât, kodot","Arrested, prevented"
"kodâu, kodŭ","Run, flee"
kôdeh,Short
kôdeh,Flicking
kodém,"Onion, garlic."
kodet,Certainly not
kodoh,"Bark, epidermis"
kodông,Traps
kodôŭng,plate
kodo,"ashamed, blush"
kodra,"Old, elder, the master, the ancestors"
kôdrang,man
kôdrăp,"Doubled, repeated"
kodrât,shiver
kôdreh,frighten
kôdri,"Woman, wife"
kôdril,Rush
kôdroi,Immediately
kodrôt,Wild bees
kodru,Poison
kodrum,"Enclosure, enclosed"
kodung,"Purse, bag"
kôjal,Compact
kojxp,"Solid, durable, firm"
"kôjoh, kôioh","More, much more"
kojon,"Numb, tired"
kôkã,Chew
kôkãl,persist
kokoch,"ticklish, startling"
kokoi,sleepy
kokor,"worried, anxious"
kokôt,Pimple
kôl,Head
kôlă,Until now
kôlâm,Brass
kolang,White grey
kôläp,White ants
kôleng,"Look, consider, examine"
kôlih,because
kolong hong,"Impudent, shameless, wanton"
komang,"At night, during the night."
"komang, kômong","tender, soft, flabby"
komap,stunted
kômar,Twin
komat,"Gall, bile."
"kôômét, mét",passionate
komlat,Lightning
"kômléng, kômlénh","Indomitable, furious"
komlo,Stutterer
kômlung,during
kômõ,"dirty, filthy"
komo-rôloh,"Imperfect, incomplete"
komol,pigeon
komôn,rice
kômôren,numb
kômuh,Foam
kômuol,"smell, sniff"
kônã,"Oppose, defend, prohibit, obstruct"
kônal,Recognize
kônâm,Cover
kônam,under
kônam,Enemy
‘kônang,"Young, recent"
kônao,Degree
konap,shelter
kônar,"By day, during the day"
kônăr,In hurry
kônât,piece
kône,bad
kône,"mouse, rat"
kong,"hold back, confiscate, retain"
konglang,Grey
kônglep,"canvas, fabric"
kônglôp,lid
kônhal,dazzled
kônheng,"To work with unwavering application and perseverance, to be constant, firm, tenacious, obstinate, opinionated."
kônhil,Stubborn
kônhip,"Close, join"
kônho,Needle
konhoi,"follow, originate, progeny"
kônhùi,"High, tall, long"
"kônï, kôné","Ugly, naughty, bad, mean"
"koniâh, konioh",nails
koniet,"Butcher, stuff"
kônĩng,"constipated, constipation."
kônol,Groin pain
konol,Heel
kônom,trunk
konon,Pillow
kônong,"wood pillar, bamboo pillar"
kônop,"pair, couple"
kop,"Slow, lazy, nonchalant"
kôpaih,Cotton
kopal,top
kopang ti,palm
kôpen,"Belt, langouti"
kôplah,"Come in, in the meantime"
kopô,Buffalo
kopung,melon
kôrôl,Variegated
"kot, kât","Bind, fasten, garrote"
kota,"On site, in the same place, at the same time"
kotah,surprise interjection 
kôtah,Jump down.
kotam,Crayfish
kotao,Sugar cane
kôtắp,Egg
koteh,"Footsteps, sound"
"kôteh, kôpen ",Langouti 
kôték,"break, finished, gone"
kôthôm,Burst in
kothong,Pan
kôtiel,"Compact slippery, smooth"
kotieng,"Shore, edge"
kôtier,"Termites, white ants"
kôtoet,Worn
kôtoh,"Drip, drop"
kôtoih,stumble
kôtol,suspend
"kôtol, kôtùôl","Block, ball, clod"
"kôtonh, hla ",Ferns
kotong,hanging
kôtŭng,Deer
kôtot,Wart
kôtô,bamboo scraper
kôtoh,Chest
kôtong,"hear, listen"
kôtôp,"Dove, pigeon."
kôtul,clumsy
kotum,"Assortment, collection, assembly"
kotuol,"Platoon, platoon"
kotuol,"Block, clod"
koxâm,Fragrant herb 
koxop,Package
kôxô,"In the evening, towards the evening, towards the sunset"
kra,"Old, rich, influential"
krây,Different
krai,Squirrel
kral,solidify
_krăm,overwhelmed
kram,Bamboo
krang,Steep
krao,"Call, order, name, estimate"
krap,"stick, adhere"
krâp,ambush
kre,"go away, slip away"
kre,Weak
krel,"buttocks, anus"
krõ le pied đun vase,dram
kren,"Cancer, chancre"
kreo,Castrate
krét,"Chick, miser"
kril,Shell
kring-ning,Bells
kro,Dry
"kroh, kruh",pile up
krôi,Orange
"krol, kruol",Roll
krõôm,Embracing
krôn,caged
krong,river
krôp,cuddle
krung-kôtum,"Parents, kinship"
krŭ krŭ,Too much
kŭak,"extract, withdraw"
kuăn,grasp
kuan,"Chief, mandarin"
kŭang,brave
kue,Weak
kŭer,scraping
ui,Squirm
kuy,lie down
kung,"Epilepsy, epileptic"
kung,ladder
kunh,bend
kuol,"Bark, sniff"
"kuot, guớt, gõt",imprint
kúp,"pray, worship"
"kur, habo",corn
kŭ,"indifferent, indiscriminately"
la,Time
là,spit out
lach,scolding
lak,Peel
lak-lai,Innumerable
lâl,"Volatile, frivolous, libertine, licentious"
"lâl, lol",Mute
lâm,Fake
lăm ko,"Add that, moreover, more"
lân,Clay
lang,"Look, consider"
lang,"Extend, develop, expose, explain, reveal, open, loosen, deliver"
lao,slave
lao,"bored, disgusted, depressed, sad"
"lâp, lop","Submerge, cover, flood, covered, flooded"
lâp,"Sufficient, enough, suitable, proportionate, commensurate, mediocre"
lar,blossom
lar,flat
lât,"trample, walk on"
le,"Leave, put down, abandon"
leh,"Pick up, detach"
leh,be defeated
lëk,Tin
lék,"dissolve, consume"
lék,spread
lele,know
"len, ngam ",Bland
li,"steal away, to slip away"
"li-lồn, li-lon",flood
"lia, kia",Ginger
"liêm, long","Good, beautiful"
lïet,"Knocked down, overturn "
lin,Gums
lioh,Lick
lip,Small insect
lir,"constantly, continuously"
lit,"alarmed, anxious"
lôet,"Die, faint"
loih,Mow
plus que,better
"lôk, unh ","Glowworm, firefly"
lôm,"Roll, fold"
lon,Intermittency
long,"Tree, wood"
lông,float
lôt,stooping
lo,many
lobat,"Flexible, handy, hard, soft"
loh,"Allow, consent, yield, give"
lôk,"Turn over, turn sideways, upside down"
lok,Extend
lol,Mute
lô-la,Cancrelas
lolan,ivy
loleng,Hang around
loliel,Talkative
lolut,"Reckless, thoughtless"
lom,"in, during, when, at"
lômô,Often
long,"Beautiful, good"
lop,"Cover, flood"
lôr,"crush, trample, tread upon"
"lot, lât","Confused, ashamed, silence"
lu,have an appetite
lui,"believe, confide, obey, yield, acquiesce, consent"
lŭk-lok,"mixture, confusion"
lũm,"roll up, wrap."
lŭng,"Incapable, unskillful, clumsy"
lŭon,"Swallow, devour"
lŭr,"Go, run"
lŭt,"stick, push"
lŭt,credulous
lut,"Worse, lower, lesser, less"
ma,Uncle
ma,straight
mah,gold
mah,"Suffice, sufficient"
maham,Blood
maih,Copper
"majo, mx io",Which
mâk,In charge
mâm,Breastfeed
mầm,Iron
man,mould
manat,"Have pity, compassion"
mang,"Door, main gate"
mâr,"on guard, alert"
mar,"Shady, fearful, untamed "
mât,Eye
mât-nar,sun
mau,"Think, reflect"
me,Mother
mé-kra,Aunt
me,"Nourish, maintain, sustain"
meh,Glean
mek,enough
mek,Uncle
mem,"regret, distressed"
"meng, mă ","Quickly, promptly"
meo,Cat
met-môt,Get ready
mi,Rain
mi,"Brother in law, sister in law"
mih,Uncle
mil,"angry, impotent"
mim,wild buffalo
ming,"Repair, restore, reestablish, amend, correct"
ming,"Cast spell, curse."
mir,Field
mô,black
"môet, plonger dans l’eau et retenir sa res- piration",water proof
"môl, lôet ",Faint
mon,"Nephew, niece"
mong,restore
mou,"Exhale, smell"
môi,"First, beforehand"
môl,disgusted
môlâu,"ashamed, blush."
môlẽ,"Nevertheless, in spite of, yet, although"
"môleh, ou mieux bôleh",bleed
momai,"Older sister, sisters, cousins"
momang,"dark, darkness"
"momâng, momong",impudent
momâu,Mushroom
momŭ,grope
"mômong, momung",Hollow
mômônh,"Whisper, complain"
"momôt, romôt, rômuôt",horrified
momur,grumble
mon,feel
mona,war prisoner
"mona, môni mona","Though, However, but"
"mona, mônah","Some, part, others"
mone,For
môneng,Rope
môngang,carpenter ant
mônhã,"Gleaming, shining"
monhan,"refuse, fuse, resist"
monhang ko,"although, despite"
"mono, ma nŭ",This
mrông,Hoard
mrom,Arrow
