word,definition
bơdŏ sem,birdtrap
bơdô,lullaby
kon,child
bơdô kon,lullaby
bơdô̆,hide
bơdô̆ 'mi,shelter
bơdơi,rest
bơdrŏng,rich
bơdrưng,resist
bơdrưng,resist
bơdrăng,resist
bơdrăng,resist
bơdung,rabbit
bơdung,rabbit
bơdư bơdong,sad
bơdư bơdong,sad
bơdư,silent
bơdư sreh,silent
bơdưng,build
hnam,house
bơdưng hnam,build
bơgah krong,estuary
bơgang,medicine
bơgang,medicine
bơgê,dawn
bơgê,morning
bơgê,dawn
bơgê sruôih,morning
bơgơm,proud
bơgơm,proud
bơgrong sa kơpô,buffalo-slaughter
bơhnar,Ba-na
bơhngol,soul
sa,eat
boih,then
sa boih,eaten
sa,eat
bơih,then
sa bơih,eaten
bơjan,refuse
bơjăng,cling
bơjăng,cling
bơla ruôih,ivory
bơlang kai,bird
bơlau,island
bơlau,island
bơlŏ,cold
bơlŏ lơngoh,cold
bơluk,stupid
bơluk,stupid
bơlŭ bơlă,mixed
bơlŭ bơlă,confused
bơnat,fond
bơnat,love
bơnat,affection
'mem bơnat,fond
'mem bơnat,love
'mem bơnat,affection
bơnăt đak,dam
bơne,thanks
bơne,praise
bơne dih bơl,wish
bơne dih bơl,praise
bơne tap ti,acclaim
bơngai,person
bơngai grông,adult
bơngai hơ'yoh,youth
bơngai ji,patient
bơngai ji,patient
bơngai juăt,acquaintance
bơngai kră,elderly
bơngai kră ŭnh,owner
bơngai kuê̆,stranger
bơngai luôch,corpse
bơngai luôch,corpse
bơngai nưih sơhngơ̆m,warrior
bơngai sơmah,shaman
bơ'nuôl hnam,roof
bơ̆n,we
bơ̆t,block
bơ̆t,prevent
bơ̆t bơnăt đak,dam
bral,terror
breh grăng,robust
brêng brang,light
bri,forest
bri atơ̆u,cemetery
bri hơmôi,jungle
bri anat,jungle
bri kông,mountainous
bri kră,jungle
brưng gơleh,pattern
brư̆,evil
brư̆,fierce
teh brư̆,barren
teh brư̆,barren
brư̆,dirty
brư̆,stained
brư̆ brich,ugly
brư̆ kơnĕ,wicked
brư̆ kơnĕ,ferocious
bu,who
buch,pluck
buch,pull
bung,barnyardgrass
bui,happy
bui,happy
bui 'nhông,bustling
buk,rotten
buk,rotten
buk,empty
bươ bươ,both
bưt đak,dike
bưt đak,dike
'ba,rice
'ba,rice
'bak,white
kok,white
'bak 'bak,white
'bak kơmŏ̆ng,white
'bak si,doctor
'bal,two
2,two
'bar,two
2,two
'bau tang,museum
'bă,father
'bă,father
'bă 'băn,stepfather
'bă mĭ,parents
'bă rong,father
'bă tơnăi,father-in-law
'bă tơnăi,father-in-law
'bă yăng,stepfather
'băk,north
gah 'băk,north
'băng,witchcraft
'bău,lake
'bău,pond
'beng 'ngam,dessert
'bet,destroy
'bet,kill
'bĕnh,full
'bĕng,cake
'bich,lie
'biêh,skillful
'biêh,skillful
'biê̆,few
'biê̆,rare
'biê̆ loi,poor
'biê̆ loi,less
'bih,snake
'bih ka,water snake
'bit,illness
'bit,defend
'blang,cassava
'blăn,tease
'blăn,play
'bling nhip,flicker
'blip,flash
'blŏch 'bom,wipe
'blŏk,remember
băt,miss
'blŏ̆k ling lang,restless
'boh,appear
'boh,appear
'boh,see
'boh,salt
'boi diong,imitate
'bok,man
'bok bơgang,doctor
'bok bơgang,doctor
'bok kla kơđong,newspaper
'bok kla kơđong,leopard
'bok kla pơhum,tiger
'bok kla pơhum,tiger
'bok ư,elder
'bok y,elder
'bom,touch
'bom,touch
beh,touch
beh,touch
'bŏ,cheek
'bot ti,reach
'bot,wear
gơdung,bag
'bot gơdung,carry
'bot,search
kơtam,crab
'bot kơtam,crab
amơt,feel
kơtam,crab
amơt kơtam,crab
'bô đôi,soldier
'bônh,braid
tơlăi,rope
'bônh tơlăi,braid
'bônh tơlăi,braid
'bônh,braid
tơlăi,rope
'bơ,bank
krong,river
'bơ krong,bank
'bơ̆l,mouth
'bơ̆l,mouth
'bơ̆r,mouth
'bơ̆r,mouth
'bơ̆l,speech
'bơ̆l,language
'bơ̆r,speech
'bơ̆r,language
nơ̆r,speech
nơ̆r,language
'bơ̆i angiêng,sound
'bơ̆i Bơhnar,Bana
'bơ̆l đon,nature
'bơ̆l đon,temperament
'bỡl kơkuh,greeting
'bỡl krau,call
'bơ̆l nhĭm,cry
'bơ̆l pơđam,chat
'bơ̆l pơma,voice
'bơ̆l pơma,speech
'bơ̆t,bend
'bơ̆t,mold
'brôm,floor
'brông 'brang,colorful
'brơh,harm
'brơh,harm
'brơ̆u,yellow
'brơ̆u,yellow
'brŏu 'brơt,yellowish
'brư̆,ugly
'brư̆ kơnĕ,wicked
'buh,bake
'buh,grill
'buh,burn
'buh,roast
'buh,burn
'bui nhui,coarse
'buih,yeast
sơdrô,liquor
'buih sơdrô,yeast
'bum,tuber
'bum bri,yam
'bum ngu,sweet potato
'bunh 'bŏk,simple
'buôi,session
'bŭ,bury
'bŭ,bury
'bŭ,fill
'bưp 'bưp,shimmer
chal,there
chang,busy
jang,occupied
chau,hello
chă,earn
chă,find
chă hming,treat
chă jơluk jơlăk,search
chă ruih,check
chă wă alê̆,investigate
chăl,split
chăm Hroi,Cham
chăng,ignore
hơ,it
chăng hơ,ignore
chăng,ignore
hơ,it
chăng hơ,ignore
chen,bowl
chen,cup
cheu,dig
cheu,stir
cheu,chisel
chĕp,lead
chĕp,lead
chĕp,carry
chĕp,carry
chĕp,carry
chĕp tơ'nhơĭ,lift
chĕp tơ'nhơĭ,lift
chê,scold
chê,cloth
chê,cloth
chiêm,wedge
chiêm,wedge
chiêm,clip
săng,knife
chiêm săng,clip
chiêm,trap
săng,knife
chiêm săng,ambush
chiêm,lead
săng,knife
chiêm săng,stab
chiêu,mat
chiêu,mat
chiêŭ,screen
chih,write
chih akău,tattoo
ching,cymbal
ching,cymbal
'yĕr,chicken
choh 'ba,peck
choh,peck
'yĕr choh 'ba,pecking
chop,lurk
năm,go
chop,sneak
năm chop,tiptoe
pơkau,flower
chôh,bloom
pơkau chôh,blossom
chông,paddle
thŏng,boat
chông thŏng,row
chô̆,tie
chô,tie
chô̆,tie
lơnguach,tie
lơnguach,tie
lơnguach,tie
chơ,carry
chơdah,dawn
chơdŏng hnam wal,roof
chơđa,span
chơđah chơđang,cracked
che,cloth
chơđeh che,cloth
chơđeh,panel
chơđeh,piece
chơđeh che,patch
chơđeh,piece
chơđeh che,patch
chơđong,trap
chơhleng chơhlot,hazy
chơhlung,tunnel
chơhlung,pit
chơhning,block
chơhning,shield
chơhnong,straw
chơkăt 'bơ̆l,promise
chơkăt 'bơ̆l,swear
chơke,boar
chơkep,grasp
chơkŭp hnam,eaves
chơmuk,receive
chơmuk,press
chơneh,basket
chơnĕch,roughly
chơnĕch,roughly
chơnŭp,pinch
phe,rice
chơnŭp phe,pinch
chơnŭp,handful
chơnŭp phe,handful
chơnglôk chơnglak,fuss
chơ'nhot chơ'nhat,wrinkled
chơpik,civet
chơpik,weasel
chơpuih hnam,sweep
chơpuih,sweep
chơ̆,market
chơrau,shrike
chơrau,shrike
chrĕk,canal
chro,worry
chro đi,worry
chro đon,think
chroh,diarrhea
chruh đak,water
chruh kơ̆l đe hơ'yoh,mid-autumn
chruh kơ̆l,celebrate
chruh kơ̆r,celebrate
chu nhơ̆t,sunday
chul,lime
sra,lime
chuô,temple
chuôh,sand
chup,pounce
chup,lunge
chŭt ŭnh,kindle
chư,character
dach,always
dach,frequently
tŏ̆,sun
dal,gentle
dal wang,around
dang,suddenly
dang 'noh,about
dang 'noh,level
dĕk,laugh
dĕk chơt,smile
dêh,very
dêh,much
dêh,strong
diêl,firm
'ba diêl,full
diêl,plump
'ba diêl,plump
'ba,rice
dih plơh,desire
dil hnam,roof
diong,obey
diong,follow
hnam,house
dĭ,of
inh,I
đŏng,save
dôm,several
dôm,many
dôm yơ,several
dôm yơ,many
đôm ơ̆i,thatmany
dơbeh,cheat
dơblenh,sadness
dơblenh,sad
dơbŏng,poke
dơbŏng,point
dơbŏng,receive
đak,water
dơbŏng đak,collect
dơbuh,jump
adruk,jump
dơbưk,machete
dơbưk muih,machete
dơdrơ̆u,six
6,six
dơdui,tug
dơgal,jealousy
dơgal 'yŏk,occupy
dơgal 'yŏk,seize
đơgiêng,branch
đơgiêng long,twig
dơgiêng lư,lush
dơglưm,wrestle
dơgơ̆,break
dơlô̆,retch
dơngưl,stake
dơngưl,stake
dơnŏ,place
dơnŏ,place
dơnuh,poor
dơnuh nan,poor
dră,dry
dră,dry
dră drang,cluttered
driêu,swing
driêu,shout
drŏng,strand
drŏng,piece
drŏng sŏk kơ̆l,hair
drŏng duôh,chopstick
druh,chase
druh,expel
duch,aunt
duch,aunt
duch,aunt
duch,aunt
duch pơtho,teacher
dui,pull
dui,hold
dui dih bơl,support
dih bơl,each other
dul,gate
duônh,pick
dư dư,clumsy
đak,water
đak bơbŏ,flood
đak tih,flood
đak chơ-uh,sweat
đak dơwing,whirlpool
đak lơngom,dew
đak măt,tears
đak pơluk,puddle
đak sut,honey
đak tih,flood
đak tih,flood
đak toh,milk
đau,sword
đăm,year
5,five
đe,family
đe,people
đe 'nhŏng,men
đe hơ 'yĕ,children
đe hơ 'yoh,children
đe 'yoh,children
đeh,birth
điah,image
điah,carving
điêl,mark
điêl,trace
đim,not
đim đi,remaining
đim keh,unfinished
đim keh,incomplete
đim khơh,poor
đim khơh,poor
đing,tube
đĭ,all
đĭ,all
đĭ,all
đĭ,none
đĭ pran,exhausted
đoh,wear
đoh kong,wear
đon,ear
đŏk,monkey
đŏng,work
đŏng,skew
đŏng đeu,hesitant
đŏng đeu,winding
đô sa,food
đôi,friend
'ban,pal
đơng,float
đơng,drift
đơng tơkan,achieve
đơng tơkan,adrift
đơ̆i,get
bơne,praise
đơ̆i bơne,praised
đơ̆i,have
jên,money
đơ̆i jên,rich
đơ̆k,lure
đu,silly
đuk,angry
đuk,sulky
đuk,angry
đum,ripe
plăi đum,ripe
đunh,old
đunh,old
đunh đunh,occasionally
đuôĭ,tall
đuôĭ,long
đuôn,hat
đuôn,hat
đuôt,pull
ti,hand
đuôt ti,pull
đuôt,withdraw
đuôt ti,withdraw
đuôt,retract
đuôt ti,retract
đưng pơtơm,initially
jơnang pơtơm,initially
đưng rŏng,after
đưng rŏng,since
đưng rŏng,behind
đưng kơdŭ,after
đưng kơdŭ,behind
đưng rŏng 'nơ̆u,following
đưng sơ̆,long
đưng,from
truh,to
e,you
ih,you
et,drink
gah,side
gah,side
gah,direction
gah agah,outside
gah agah,beside
gah agah,except
gah 'năr lĕch,east
gah 'năr lĕch,east
gah 'năr mư̆t,west
gah 'năr mư̆t,west
gal,jealous
gan,absolutely
gan,completely
găm,black
găm lơmek,smooth
găm sơnguat,pitch-black
ge sơdrô,wedge
ge sơdrô,jug
gĕh,finished
gĕh,exhausted
gĕl,seed
gĕl,seed
gĕl,position
gĕl,child
gĕl,fruit
gĕl,grain
gĕl măt 'bak,sclera
gĭt găi,special
giaih,lightning
giaĭ,harm
giaĭ,harmful
giêh,tired
giêh glang,tired
gling gling mắt,sleepy
gling gling,dim
mắt,eye
mắt gling gling,sleepy
gioh,more
gioh,outside
loi,over
loi,beyond
giô̆ giă,concave
glơi,swim
giư̆ch truh,rush
giư̆ch truh,rush
go,mound
teh,earth
go teh,mound
gok,cicada
gok,cicada
gŏ,float
gŏ ơ̆m,warm
gŏ ơ̆m,kettle
gŏp,earring
gô,wait
gô,wait
gô adrol,ambush
gô đêch,ready
gô lui,clever
gô lui,obedient
gô rắp,receive
tơmoi,guest
gô rắp tơmoi,receive
gôh,red
aseh,horse
aseh gơdah,statue
gơdah,stone
aseh gơdah,kick
gơdah,step
gơdai 'long,prune
gơdăp,oblique
gơdăp,trample
gơdiệp,trumpet
gơdĭm,garlic
gơdơl,clog
gơdơ̆u hli,hide
gơdron,coop
yĕr,chicken
gơdron yĕr,coop
kơpô,buffalo
gơdron kơpô,stable
gơgŏ,knock
'măng,door
gơgŏ 'măng,knock
gơh,know
gơh bắt,understand
gơh hơgĕi,skilled
gơi,send
gơk,hump
gơk,bulge
gơl,handle
kuôk,hoe
gơl kuôk,hoe
săng,knife
gơl săng,knife
gơl,handle
kuôk,hoe
gơl kuôk,hoe
gơl săng,handle
gơlaĭ,dangerous
bơplênh,dangerous
gơli,sloped
gơning,lean
gơning,lean
gơnơm,rely
gơnŭk,pile
'long ŭnh,wood
gơnŭk 'long ŭnh,pile
gơ̆,break
gơ̆n,hinder
gơ̆n,hinder
bơ̆t,hinder
bơ̆t,hinder
grăng,healthy
grĕng nĕng,jingle
grê,vehicle
grê,vehicle
grêh grêh,squeak
groi,hill
groi kông,plateau
gron,confine
grôl,clumsy
grôl,clumsy
grông,large
gru,artisan
grŭn,fever
bơlŏ,fever
grưm,thunder
grưng grê̆,stumbling
ha,agape
'bơ̆l,mouth
ha 'bơ̆l,gaping
hach,disintegrated
tơrai,shattered
hach hŏch,destroyed
hađĕn,tiptoe
hađĕn,tip
hăk,vomit
hăk,vomit
han,sharp
han,sharp
han dêh,pointed
hau,ride
aseh,horse
hau aseh,ride
hau,climb
'long,tree
hau 'long,climb
hau,climb
hau 'long,climb
hăm đunh,how long
hăp,begin
hăp,it
he,huh
hek,tear
hep,smoke
thuôk,medicine
hep thuôk,smoke
hĕi,or
hĕi,or
hiah,torn
hiah hŏch,torn
hiah hiông,torn
hiah hiưng,torn
dek,laugh
hiê hiê,giggle
dek hiê hiê,giggle
hiên,cough
hil,angry
đuk,angry
hil areh,angry
hil areh,hate
hĭnh,image
hiong,lost
hiong bơngol,terrified
hiong 'bơt,wasted
hiong 'bơt,wasted
hĭnh,image
kơhĭnh,photo
hĭnh chih,painting
hĭnh chih,painting
hla 'long,leaf
hla 'long,leaf
hla bơ-al,paper
hla bơ-ar,document
hla ja,rush
ja,sedge
hla grê,water spinach
hla hrum,vegetable
hla kơ,flag
hla kơ,flag
hla 'nhem,vegetable
hla piêt,tongue
hla piêt,tongue
hla piêt 'yĕr,tongue
hlak,sheet
hla bơ-al,paper
hlak hla bơ-al,paper
hlak săng,knife
săng,knife
hlău,easy
'bônh,easy
hlău hlik,easy
hleh,pluck
hleh,pluck
hlih,landslide
teh,land
teh hlih,landslide
hling tra,make
hling,pour
đak,water
hling đak,pour
klŭ,pour
klŭ đak,pour
hling,pour
hling đak,pour
klŭ,pour
klŭ đak,pour
hling,pour
hling đak,pour
klŭ,pour
klŭ đak,pour
hlŏ,distant
hlŏ hlang,distant
hlŏ hlŏ to,glimpse
hlôh,understand
hlôh hlăk,grow
hlôl,rough
hlôl hlal,rough
hlôl hlal,bulky
hlơp,flooded
hlung atău,grave
hlung đak,stream
hluôi,past
hluôi,too
hluôi,out
hluôi băt,clear
hlup,sink
hmăng,protect
hmăng,favor
hmăng,request
hmĕt,stamp
hmĕt,press
hmiêt,store
hmiêt,remove
hming,repair
hming,cure
hming jĭ,treat
hmuôch,ant
hnam,house
hnam bơgang,hospital
hnam kron,prison
hnam tĕch bơgang,pharmacy
hnam wal,longhouse
hngiêl tep,sleep
hnhăi,look
hnhăi minh pah măt,glance
hnhăi pơdưng mĕt,glare
hnhăi thuôi,gaze
hnhuk,invite
hnhŭk,invite
hniê̆,crowd
hniê̆,encroach
hniê̆,shove
hniê̆,push
hning hla 'long,shaded
hnuh,husk
hnuk hnua,peace
hok,study
hok sinh,student
hon,sprout
hon,sprout
hon sơnĕnh,teething
hop,meeting
hŏnh,wilt
hŏnh atrep,collapse
hŏnh hep,shrink
hơ,it
hăp,he
hơbơ̆u,thousand
hơbơ̆u,thousand
hơbŭt,storm
hơ'bo,corn
hơ'bo,corn
hơdơi,even
hơdơi,also
hơdơi hơdơi wă,harmonious
che,tea
che,tea
hơdriêng che,tea
hơdriêng che,tea
hơdĭng,together
năm,go
hơdĭng năm,go
hơđŏ̆ng atău,funeral
hơđuh,twitch
hơđuh,struggle
hơgăi,skillful
hơh hah,giggle
hơ 'yoh,child
hơkuk,snot
sa,eat
hơleh,finish
sa hơleh,finish
hơlĕch,smooth
hơlŏ̆ng,throat
hơlơ̆m,collapse
hơlơ̆m teh,landslide
hơlih,sink
hơlih teh,landslide
hơ'măk,hang
hơmŏng 'long,fortune
hơmŏng 'long,foliage
hơmôl,dense
hơmơng,worm
hơmưl,cloud
hơnăt,hasty
hơnăt hơnăt,hurried
hơnhău,shake
hơnhău,jolt
hơnhuh,wet
hơnong,straw
hơnong 'ba,rice seedling
hơnung hơnăng,noisy
('long) hơ-iơl,bamboo
('long) hơ-iơl,bamboo
hral,awake
hral,awake
hrap tơnat,suffering
hrap tơnat,extreme
hrap tơnat,misery
hre,Hre
hre,Hre
hriêng,hundred
hrul,empty
hrul hnam,absent
hruôch,flat
kong,ring
hu,silver
kong hu,ring
glang,silver
kong glang,ring
huăng,fall
huăt,quince
huăt,suddenly
huăt ka,fishing
huch,sup
huê,glance
huê,back
huên,district
hui,thin
hui,thin
hui hui,sparse
hum,bathe
huôi,worm
huôi,earthworm
huôt,breathe
huôt sơhngơ̆m,breath
hut,kiss
hut,smell
hut,inhale
hut mơ̆u,sniff
hưch,happy
hưch driêu,cheer
hưch hanh,joyful
hyot,pull
dui,drag
hyot kơtĕch,pluck
hyot kơtĕch,extract
hyôk,happy
hyôk,joyful
hyôk,smooth
hyôk hiăn,joyful
hyôk hiăn,cheerful
hyôk pơtơnh,humorous
hyơt,forget
ich,shit
ich,shit
iêl,clean
in (bơ̆l),similar
in (bơ̆l),identical
in đŭnh,original
inh,I
inh,I
it,hit
tôn,beat
it dih bơl,fight
jah,good
jah,or
jak,basket
jak,basket
jal,life
jal,life
jang,busy
jar,net
jar,net
jă,price
jă,price
jăl arih,life
jăng,healthy
jăng pran,healthy
jĕl,class
jĕl,class
jê̆,near
jên,money
jich,epidemic
jiêt,peel
kơđoh,peel
jiêt kơđoh,peel
jih,edge
jih bơgal,fence
jil,carry
jil,muntjac
jing,transform
jing,become
jĭ,pain
jĭ,disease
jĭ,sick
jla,thorn
jo,optional
jjo inh,self
jjo inh,self
joh,song
joh,sing
jong,red
'yĕr,chicken
'yĕr jô̆,chicken
jơ,hour
jơ pă,only
jơdrap,shovel
jơdrap,hoe
jơdră,mat
jơdră,shine
jơdrông,worm
jơdrông,worm
jơdrơ̆u,net
jơdrơ̆u,net
jơdruih,broom
jơgơ̆l,drum
jơgơ̆l,drum
jơh,already
sa,eat
jơh sa,eaten
kon,child
kon jjơlang,eldest
jơliêng,insect
jơliêng,lizard
jơma,porcupine
jơmang 'yĕr,comb
jơmuk,angry
jơmuk,descend
jơmul,harvest
'ba,rice
jơmul 'ba,harvest
jơnang,session
jơnang adrol sơ̆,before
jơnang 'noh hĕi,ago
jơnang kơ'măng,evening
jơnang kơsơ̆,afternoon
jơnang 'noh,then
jơnang 'noh,then
jơnang pơgê,morning
jơnang pơtơm,initially
jơne tih,victory
jơnŭm,together
jơnŭm jơnăm,together
jơră,push
jơro,raise
ti,hand
jơro ti,raise
jơ̆n tŭk,ethnic
jơ̆p,throughout
jơ̆p,everywhere
jơ̆p jang,everywhere
jrăng,pillar
jrăng tơm,post
jjn,banyan
jjn,banyan
jroh,steep
jrơi,stubborn
jrơi,insolent
jrơ̆u,mix
jruh,wither
jruh,ruined
jruh,fall
jrŭ,depression
jrŭ,chasm
jrŭ,abyss
jrŭ tuôih,concave
jrưm,needle
juăt,familiar
jul,down
juô jot,sad
juôi,deer
juô̆,stamp
juô̆,oblique
juơ̆t,skillful
jăp 'bơ̆l,bunch
jăp 'bơ̆l,summary
jưng,leg
jưng kông,foothill
jưng plĕnh,horizon
jương,bed
ka,fish
kam ơn,thanks
kang,chin
kang,jaw
kang kưt,hut
kang kưt,hut
kăi,plow
bal,field
kăi bal,plow
kăn,they
kăn hăp,them
kăp,bite
kăp,press
mơ̆m,lip
kăp mơ̆m,pout
kăp 'biê̆ biê̆,nibble
kăt,cut
kăt,harvest
'ba,rice
kăt 'ba,harvest
keh,done
keh,goat
keh,goat
ken,small
ken,small
ken đĕch,small
ken kŏch,tiny
kĕng,stringed instrument
kep,press
kep,clamp
ket,scratch
ket,disconnect
kêch,strip
'ba,rice
kêch 'ba,harvest
khaih,hoot
kham,examine
khan,speak
akhan,say
kheŭ kheŭ,careful
khĕi,moon
khĕi,month
khĕi adrol,lastmonth
khĕi 'bal,February
khĕi đưng rŏng,nextmonth
khĕi 'nơ̆u,this month
khĕi pha,crescent
khĕi pơnil,full moon
khĕi pơnil,full moon
khăng,hard
kheŭ,skillful
khĕ,slow
khĕ,weak
khĕ dêh,slow
khĕ khĕ,weak
khĕ khă,sluggish
kial,wind
khĭ,calm
khĭ kial,calm
đĭ,calm
kial đĭ,calm
khŏ kơpơm,obstacle
kơdŭ,back
khôm,hunchback
kơdŭ khôm,hunchback
khôn,gentle
khôn kheŭ,gentle
khung,sour
khŭl,cultivate
khŭl,cultivate
'bŭ,cultivate
tơm,root
'bŭ tơm,cultivate
kial,wind
kiêl klŏng,abyss
kiêl krong,riverbed
kiêng,necklace
ruk,necklace
kiê̆,blanket
kơpô,buffalo
kiê̆ kơpô,herding
kih,go
kih,drink
kla,pay
jên,money
kla jên,pay
klaih,escape
klaih,from
jĭ,illness
klaih jĭ,recover
klak,stomach
klak,intestine
klang kok,crane
klang kok,crane
klang pơsum,hawk
klăm,night
klăm klu,dark
klăm klu,dark
klăm kleng,dark
klăn,python
kleng kleng,peep
kleng năm kleng sưt,sway
klik,noisy
klik klang,noisy
klĭ,smooth
lơmek,smooth
klĭ,soft
klĭ,soft
lơmơ̆n,soft
lơmơ̆n,soft
klŏk,flock
klơm,liver
klơ̆k,cup
et đak,drink
klơ̆k et đak,cup
klui,late
sŏk,hair
sŏk ko,grey
koh,chop
koh,chop
koi,shadow
'long,tree
koi 'long,shade
kon,child
kon kông,minority
kon kơdiŏng,daughter
kon kơdruch,youngestchild
kon uch,youngestchild
kon kơmăn,daughterinlaw
kon mon,descendants
kon tơhnglo,son
kon tring,people
kon uch,youngestchild
kong,circle
kong,bracelet
kop,turtle
kop,turtle
kŏ,dog
kŏ,dog
kŏ jong,matchmaker
kŏ jong,engagement
kŏ kơmuôl,hound
kông,mountain
kơchai,game
kơchai hnam,homegame
kơchang,time
kơchiê̆,tight
kơchiê̆,narrow
kơchik,pineapple
kơchŏ,corner
kơchŏ,nook
kơsŏ,corner
kơsŏ,nook
kơchôp,hoof
aseh,horse
kơchôp aseh,horseshoe
kơchôp,hoof
kơchôp aseh,horseshoe
kơchuôĭ,eject
kơdăp,trample
kơdah,stamp
kơdih,different
kơdih,different
krăi,different
krăi,different
kơdiŏng,woman
kơdiŏng,girl
kơdiŏng,wife
kơdơ̆,chair
kơdơ̆,chair
kơdơ̆u,run
kơdơ̆u hli,flee
kơdrăt,startle
kơdrăt,startle
kơdrô̆,jump
kơdrô̆,dance
kơdrô̆,dance
kơdrơ,face
kơdrưng tih grông kơjung,tree
kơdung,laden
kơdŭ,laden
kơdŭ,back
kơđeh,short
kơđeh,short
kơđoh,shell
kơđôp,bunch
hla 'nhem,vegetable
kơđôp hla 'nhem,greens
kơ-ep,centipede
kơhning,hidden
kơjăp,firm
kơjon,crouched
kơjung,tall
kơkŏch,sticky
kơkŏch,sad
kơkuh,ironwood
kơkuh,ironwood
kơkuh hưch hanh,welcome
kơlenh,smooth
